gene,canonical_acc,isoform_acc,topology,deletion_window,deletion_length,feature_type,feature_description,feature_begin,feature_end,overlap_residues,overlap_kind,is_inhibitory_lexical,is_disorder_lexical
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,Disordered,331,351,21,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,Disordered,415,452,38,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,AF1; mediates transcriptional activation,456,546,91,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Motif,LXXL motif 1,55,59,5,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Motif,LXXL motif 2,115,119,5,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Motif,Nuclear localization signal,183,187,5,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Compositional bias,Acidic residues,220,231,12,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Compositional bias,Low complexity,232,241,10,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Compositional bias,Low complexity,335,350,16,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Compositional bias,Pro residues,418,429,12,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Compositional bias,Low complexity,430,452,23,full,False,True
RTKN2,Q8IZC4,Q8IZC4-3,C-Terminal Loss,163-608,446,Domain,PH,286,393,108,full,False,False
RTKN2,Q8IZC4,Q8IZC4-3,C-Terminal Loss,163-608,446,Region,Disordered,495,520,26,full,False,True
RTKN2,Q8IZC4,Q8IZC4-3,C-Terminal Loss,163-608,446,Region,Disordered,554,609,55,partial,False,True
RTKN2,Q8IZC4,Q8IZC4-3,C-Terminal Loss,163-608,446,Compositional bias,Basic and acidic residues,569,582,14,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Region,Disordered,1,74,74,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Region,Disordered,126,145,20,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Region,Disordered,188,218,31,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Region,Disordered,261,291,31,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Region,Disordered,334,364,31,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Compositional bias,Low complexity,1,15,15,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Compositional bias,Acidic residues,58,74,17,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Compositional bias,Acidic residues,131,145,15,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Compositional bias,Acidic residues,204,218,15,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Compositional bias,Acidic residues,277,291,15,full,False,True
SPDYE3,A6NKU9,A6NKU9-2,N-Terminal Loss,1-377,377,Compositional bias,Acidic residues,350,364,15,full,False,True
TRAPPC10,P48553,P48553-2,Internal Deletion / Splice,264-1246,983,Region,Disordered,1189,1222,34,full,False,True
NSUN5P2,Q63ZY6,Q63ZY6-4,N-Terminal Loss,1-128;246-315,198,Region,Disordered,245,269,24,partial,False,True
NSUN5P2,Q63ZY6,Q63ZY6-4,N-Terminal Loss,1-128;246-315,198,Binding site,,50,56,7,full,False,False
NSUN5P2,Q63ZY6,Q63ZY6-4,N-Terminal Loss,1-128;246-315,198,Binding site,,74,74,1,full,False,False
NSUN5P2,Q63ZY6,Q63ZY6-4,N-Terminal Loss,1-128;246-315,198,Binding site,,79,79,1,full,False,False
NSUN5P2,Q63ZY6,Q63ZY6-4,N-Terminal Loss,1-128;246-315,198,Binding site,,121,121,1,full,False,False
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Region,Disordered,327,346,20,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Region,Disordered,389,470,82,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Region,Disordered,497,556,60,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Region,Disordered,631,651,21,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Region,Disordered,926,948,23,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Compositional bias,Polar residues,390,399,10,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Compositional bias,Basic residues,427,436,10,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Compositional bias,Polar residues,497,508,12,full,False,True
STOX1,Q6ZVD7,Q6ZVD7-2,Internal Deletion / Splice,221-982,762,Compositional bias,Basic and acidic residues,526,556,31,full,False,True
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Repeat,ANK 1,47,76,30,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Repeat,ANK 2,80,109,30,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Repeat,ANK 3,175,204,30,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Domain,PH,235,334,100,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Region,Interaction with RAB7A,1,237,237,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Region,Disordered,501,527,13,partial,False,True
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Coiled coil,,430,463,34,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Motif,FFAT,469,485,17,full,False,False
OSBPL1A,Q9BXW6,Q9BXW6-2,N-Terminal Loss,1-513,513,Compositional bias,Basic and acidic residues,501,521,13,partial,False,True
VPS54,Q9P1Q0,Q9P1Q0-5,N-Terminal Loss,1-838,838,Region,Disordered,535,575,41,full,False,True
VPS54,Q9P1Q0,Q9P1Q0-5,N-Terminal Loss,1-838,838,Coiled coil,,240,260,21,full,False,False
VPS54,Q9P1Q0,Q9P1Q0-5,N-Terminal Loss,1-838,838,Coiled coil,,480,507,28,full,False,False
VPS54,Q9P1Q0,Q9P1Q0-5,N-Terminal Loss,1-838,838,Coiled coil,,582,603,22,full,False,False
VPS54,Q9P1Q0,Q9P1Q0-5,N-Terminal Loss,1-838,838,Compositional bias,Polar residues,535,552,18,full,False,True
TSSK4,Q6SA08,Q6SA08-3,N-Terminal Loss,1-76,76,Domain,Protein kinase,25,293,52,partial,False,False
TSSK4,Q6SA08,Q6SA08-3,N-Terminal Loss,1-76,76,Binding site,,31,39,9,full,False,False
TSSK4,Q6SA08,Q6SA08-3,N-Terminal Loss,1-76,76,Binding site,,54,54,1,full,False,False
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Region,DVL3-binding,1,370,370,full,False,False
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Region,Disordered,232,262,31,full,False,True
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Region,Disordered,295,338,44,full,False,True
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Coiled coil,,22,49,28,full,False,False
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Coiled coil,,349,524,176,full,False,False
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Coiled coil,,566,714,56,partial,False,False
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Compositional bias,Polar residues,237,251,15,full,False,True
LRRFIP2,Q9Y608,Q9Y608-3,N-Terminal Loss,1-621,621,Compositional bias,Polar residues,305,338,34,full,False,True
SKA3,Q8IX90,Q8IX90-2,C-Terminal Loss,35-411,377,Region,Disordered,132,156,25,full,False,True
SKA3,Q8IX90,Q8IX90-2,C-Terminal Loss,35-411,377,Compositional bias,Polar residues,146,156,11,full,False,True
CFAP251,Q8TBY9,Q8TBY9-2,Internal Deletion / Splice,925-1132,208,Repeat,WD 13,959,999,41,full,False,False
CFAP251,Q8TBY9,Q8TBY9-2,Internal Deletion / Splice,925-1132,208,Repeat,WD 14,1019,1059,41,full,False,False
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Domain,PAS,267,338,72,full,False,False
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Region,Disordered,18,41,24,full,False,True
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Region,Disordered,72,95,24,full,False,True
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Region,Disordered,393,436,44,full,False,True
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Compositional bias,Polar residues,23,34,12,full,False,True
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Compositional bias,Low complexity,75,90,16,full,False,True
PDE8B,O95263,O95263-5,N-Terminal Loss,1-535,535,Compositional bias,Polar residues,422,436,15,full,False,True
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Domain,BTB,24,89,1,partial,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 1,302,324,23,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 2,330,352,23,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 3,358,381,24,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 4,387,409,23,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 5,415,437,23,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 6,443,465,23,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 7,471,493,23,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Zinc finger,C2H2-type 8,499,522,24,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Region,Disordered,169,197,29,full,False,True
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Region,Disordered,521,556,36,full,False,True
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Motif,Nuclear localization signal,174,190,17,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Motif,Nuclear localization signal,257,262,6,full,False,False
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Compositional bias,Polar residues,188,197,10,full,False,True
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Compositional bias,Basic and acidic residues,523,539,17,full,False,True
MYNN,Q9NPC7,Q9NPC7-4,C-Terminal Loss,89-607,519,Compositional bias,Polar residues,540,550,11,full,False,True
RNF212,Q495C1,Q495C1-2,C-Terminal Loss,124-297,174,Coiled coil,,91,124,1,partial,False,False
NPEPPSL1,A6NEC2,A6NEC2-3,C-Terminal Loss,163-477,315,Active site,Proton acceptor,353,353,1,full,False,False
NPEPPSL1,A6NEC2,A6NEC2-3,C-Terminal Loss,163-477,315,Binding site,,180,180,1,full,False,False
NPEPPSL1,A6NEC2,A6NEC2-3,C-Terminal Loss,163-477,315,Binding site,,316,320,5,full,False,False
NPEPPSL1,A6NEC2,A6NEC2-3,C-Terminal Loss,163-477,315,Binding site,,352,352,1,full,False,False
NPEPPSL1,A6NEC2,A6NEC2-3,C-Terminal Loss,163-477,315,Binding site,,356,356,1,full,False,False
NPEPPSL1,A6NEC2,A6NEC2-3,C-Terminal Loss,163-477,315,Binding site,,375,375,1,full,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Topological domain,Extracellular,28,527,396,partial,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Transmembrane,Helical,528,549,22,full,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Topological domain,Cytoplasmic,550,583,32,partial,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Domain,Ig-like V-type 2,125,234,103,partial,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Domain,Ig-like C2-type 1,245,328,84,full,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Domain,Ig-like C2-type 2,333,409,77,full,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Domain,Ig-like C2-type 3,416,501,86,full,False,False
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Region,Disordered,562,583,20,partial,False,True
ALCAM,Q13740,Q13740-3,C-Terminal Loss,132-581,450,Compositional bias,Basic and acidic residues,569,583,13,partial,False,True
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Region,Adenylate kinase 1,133,316,184,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Region,NMP 1,162,193,32,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Region,LID 1,256,266,11,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,142,147,6,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,168,168,1,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,191,193,3,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,219,222,4,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,226,226,1,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,257,257,1,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,263,263,1,full,False,False
AK5,Q9Y6K8,Q9Y6K8-2,N-Terminal Loss,1-365,365,Binding site,,274,274,1,full,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Domain,Sushi 2,365,434,61,partial,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Domain,Peptidase S1,449,696,244,partial,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Active site,Charge relay system,490,490,1,full,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Active site,Charge relay system,552,552,1,full,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Active site,Charge relay system,646,646,1,full,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Active site,Charge relay system,497,497,1,full,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Active site,Charge relay system,553,553,1,full,False,False
MASP1,P48740,P48740-3,Internal Deletion / Splice,374-692,319,Active site,Charge relay system,664,664,1,full,False,False
CCDC150,Q8NCX0,Q8NCX0-4,N-Terminal Loss,1-685;853-1100,933,Region,Disordered,1055,1101,46,partial,False,True
CCDC150,Q8NCX0,Q8NCX0-4,N-Terminal Loss,1-685;853-1100,933,Coiled coil,,106,299,194,full,False,False
CCDC150,Q8NCX0,Q8NCX0-4,N-Terminal Loss,1-685;853-1100,933,Coiled coil,,398,680,283,full,False,False
CCDC150,Q8NCX0,Q8NCX0-4,N-Terminal Loss,1-685;853-1100,933,Coiled coil,,712,940,88,partial,False,False
CCDC150,Q8NCX0,Q8NCX0-4,N-Terminal Loss,1-685;853-1100,933,Coiled coil,,970,1033,64,full,False,False
CCDC150,Q8NCX0,Q8NCX0-4,N-Terminal Loss,1-685;853-1100,933,Compositional bias,Basic and acidic residues,1055,1071,17,full,False,True
CBR4,Q8N4T8,Q8N4T8-2,C-Terminal Loss,180-237,58,Binding site,,181,183,3,full,False,False
PIBF1,Q8WXW3,Q8WXW3-3,C-Terminal Loss,101-754,654,Region,Mediates modulation of Th2 dominant cytokine production,1,419,319,partial,False,False
PIBF1,Q8WXW3,Q8WXW3-3,C-Terminal Loss,101-754,654,Region,Sufficient for NK inhibitory function,1,184,84,partial,True,False
PIBF1,Q8WXW3,Q8WXW3-3,C-Terminal Loss,101-754,654,Region,Required for interaction with PCM1,271,363,93,full,False,False
PIBF1,Q8WXW3,Q8WXW3-3,C-Terminal Loss,101-754,654,Region,Disordered,712,757,43,partial,False,True
PIBF1,Q8WXW3,Q8WXW3-3,C-Terminal Loss,101-754,654,Compositional bias,Basic and acidic residues,742,751,10,full,False,True
BACE2,Q9Y5Z0,Q9Y5Z0-4,N-Terminal Loss,1-79,79,Propeptide,,21,62,42,full,True,False
BACE2,Q9Y5Z0,Q9Y5Z0-4,N-Terminal Loss,1-79,79,Topological domain,Extracellular,21,473,59,partial,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Domain,DED 1,1,73,73,full,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Domain,DED 2,92,170,79,full,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Not proteolytically processed and involved in apoptosis inhibition,1,435,245,partial,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Interaction with CASP8 propeptide,1,305,245,partial,True,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Interaction with FADD,1,227,227,full,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Interaction with CASP8,1,195,195,full,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Interaction with TRAF1 and TRAF2,192,480,54,partial,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Interaction with CASP3,192,435,54,partial,False,False
CFLAR,O15519,O15519-4,N-Terminal Loss,1-245,245,Region,Interaction with CASP8 subunits p18 and p10,217,480,29,partial,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,151,170,20,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,176,196,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,204,224,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,233,253,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,272,291,20,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,302,322,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,346,366,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,370,390,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Transmembrane,Helical,392,412,21,full,False,False
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Region,Disordered,25,57,33,full,False,True
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Region,Disordered,446,467,22,full,False,True
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Compositional bias,Low complexity,26,39,14,full,False,True
SLC14A2,Q15849,Q15849-2,N-Terminal Loss,1-523,523,Compositional bias,Basic and acidic residues,47,57,11,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Domain,Rho-GAP,506,694,189,full,False,False
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Domain,SH3,744,803,60,full,False,False
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Region,Disordered,471,493,14,partial,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Region,Disordered,809,847,39,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Region,Disordered,861,911,51,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Region,Disordered,926,950,25,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Region,Disordered,995,1099,97,partial,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Coiled coil,,952,987,36,full,False,False
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Compositional bias,Polar residues,809,820,12,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Compositional bias,Basic and acidic residues,926,936,11,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Compositional bias,Polar residues,937,947,11,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Compositional bias,Low complexity,1026,1038,13,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Compositional bias,Low complexity,1060,1074,15,full,False,True
SRGAP3,O43295,O43295-3,Internal Deletion / Splice,480-1091,612,Compositional bias,Polar residues,1089,1099,3,partial,False,True
GFER,P55789,P55789-2,N-Terminal Loss,1-80,80,Region,Disordered,1,65,65,full,False,True
GFER,P55789,P55789-2,N-Terminal Loss,1-80,80,Compositional bias,Basic and acidic residues,32,44,13,full,False,True
GFER,P55789,P55789-2,N-Terminal Loss,1-80,80,Compositional bias,Low complexity,45,60,16,full,False,True
PDGFC,Q9NRA1,Q9NRA1-4,N-Terminal Loss,1-163,163,Domain,CUB,46,163,118,full,False,False
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Domain,PAS 2,203,273,40,partial,False,False
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Domain,PAC,278,317,40,full,False,False
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Region,Disordered,466,485,20,full,False,True
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Region,Disordered,506,555,50,full,False,True
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Region,Disordered,717,749,33,full,False,True
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Coiled coil,,624,648,25,full,False,False
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Compositional bias,Polar residues,466,476,11,full,False,True
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Compositional bias,Polar residues,506,518,13,full,False,True
NPAS4,Q8IUM7,Q8IUM7-3,C-Terminal Loss,234-801,568,Compositional bias,Polar residues,532,555,24,full,False,True
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 2,857,878,17,partial,False,False
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 3,885,906,22,full,False,False
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 4,914,935,22,full,False,False
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 5,942,962,21,full,False,False
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 6,971,992,22,full,False,False
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 7,999,1020,22,full,False,False
NLRP12,P59046,P59046-4,Internal Deletion / Splice,862-1031,170,Repeat,LRR 8,1028,1049,4,partial,False,False
CEP70,Q8NHQ1,Q8NHQ1-3,C-Terminal Loss,213-597,385,Repeat,TPR,483,516,34,full,False,False
CEP70,Q8NHQ1,Q8NHQ1-3,C-Terminal Loss,213-597,385,Coiled coil,,254,326,73,full,False,False
CTSL,P07711,P07711-3,N-Terminal Loss,1-55,55,Propeptide,Activation peptide,18,113,38,partial,True,False
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Topological domain,Extracellular,21,662,186,partial,False,False
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Transmembrane,Helical,663,683,21,full,False,False
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Topological domain,Cytoplasmic,684,1073,390,full,False,False
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Domain,Sema,27,512,36,partial,False,False
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Domain,PSI,514,569,56,full,False,False
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Region,Disordered,744,775,32,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Region,Disordered,787,825,39,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Region,Disordered,839,874,36,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Region,Disordered,914,1005,92,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Region,Disordered,1021,1073,53,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Compositional bias,Basic and acidic residues,790,805,16,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Compositional bias,Polar residues,931,942,12,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Compositional bias,Polar residues,980,995,16,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-7,C-Terminal Loss,477-1073,597,Compositional bias,Polar residues,1021,1037,17,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Topological domain,Extracellular,21,662,81,partial,False,False
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Transmembrane,Helical,663,683,21,full,False,False
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Topological domain,Cytoplasmic,684,1073,374,partial,False,False
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Region,Disordered,744,775,32,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Region,Disordered,787,825,39,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Region,Disordered,839,874,36,full,False,True
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Region,Disordered,914,1005,81,partial,False,True
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Region,Disordered,1021,1073,48,partial,False,True
SEMA6D,Q8NFY4,Q8NFY4-8,Internal Deletion / Splice,570-588;601-921;933-1068,476,Compositional bias,Basic and acidic residues,790,805,16,full,False,True
