#queryIndex	queryItem	stringId	preferredName	annotation
89	SEPTIN9	9606.ENSP00000391249	SEPTIN9	Septin-9; Filament-forming cytoskeletal GTPase (By similarity). May play a role in cytokinesis (Potential). May play a role in the internalization of 2 intracellular microbial pathogens, Listeria monocytogenes and Shigella flexneri; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family.
90	NR2F2	9606.ENSP00000377721	NR2F2	COUP transcription factor 2; Ligand-activated transcription factor. Activated by high concentrations of 9-cis-retinoic acid and all-trans-retinoic acid, but not by dexamethasone, cortisol or progesterone (in vitro). Regulation of the apolipoprotein A-I gene transcription. Binds to DNA site A.
91	SPATC1L	9606.ENSP00000291672	SPATC1L	Speriolin-like protein; Spermatogenesis and centriole associated 1 like.
92	INTS3	9606.ENSP00000318641	INTS3	Integrator complex subunit 3; Component of the Integrator (INT) complex. The Integrator complex is involved in the small nuclear RNAs (snRNA) U1 and U2 transcription and in their 3'-box-dependent processing. The Integrator complex is associated with the C-terminal domain (CTD) of RNA polymerase II largest subunit (POLR2A) and is recruited to the U1 and U2 snRNAs genes (Probable). Mediates recruitment of cytoplasmic dynein to the nuclear envelope, probably as component of the INT complex.
93	GCDH	9606.ENSP00000466845	GCDH	Glutaryl-CoA dehydrogenase, mitochondrial; Catalyzes the oxidative decarboxylation of glutaryl-CoA to crotonyl-CoA and CO(2) in the degradative pathway of L-lysine, L- hydroxylysine, and L-tryptophan metabolism. It uses electron transfer flavoprotein as its electron acceptor. Isoform Short is inactive. Belongs to the acyl-CoA dehydrogenase family.
94	PML	9606.ENSP00000268058	PML	Protein PML; Functions via its association with PML-nuclear bodies (PML- NBs) in a wide range of important cellular processes, including tumor suppression, transcriptional regulation, apoptosis, senescence, DNA damage response, and viral defense mechanisms. Acts as the scaffold of PML-NBs allowing other proteins to shuttle in and out, a process which is regulated by SUMO-mediated modifications and interactions. Isoform PML-4 has a multifaceted role in the regulation of apoptosis and growth suppression: activates RB1 and inhibits AKT1 via interactions with PP1 and PP2A phosphatases resp [...] 
95	ALLC	9606.ENSP00000252505	ALLC	Probable allantoicase; The function of this enzyme is unclear as allantoicase activity is not known to exist in mammals.
96	ZNF24	9606.ENSP00000382015	ZNF24	Zinc finger protein 24; Transcription factor required for myelination of differentiated oligodendrocytes. Required for the conversion of oligodendrocytes from the premyelinating to the myelinating state. In the developing central nervous system (CNS), involved in the maintenance in the progenitor stage by promoting the cell cycle. Specifically binds to the 5'-TCAT-3' DNA sequence (By similarity). Has transcription repressor activity in vitro; Belongs to the krueppel C2H2-type zinc-finger protein family.
97	TRIP10	9606.ENSP00000320117	TRIP10	Cdc42-interacting protein 4; Required for translocation of GLUT4 to the plasma membrane in response to insulin signaling (By similarity). Required to coordinate membrane tubulation with reorganization of the actin cytoskeleton during endocytosis. Binds to lipids such as phosphatidylinositol 4,5- bisphosphate and phosphatidylserine and promotes membrane invagination and the formation of tubules. Also promotes CDC42-induced actin polymerization by recruiting WASL/N-WASP which in turn activates the Arp2/3 complex. Actin polymerization may promote the fission of membrane tubules to form en [...] 
98	CASP5	9606.ENSP00000376849	CASP5	Caspase-5 subunit p10; Mediator of programmed cell death (apoptosis). During non- canonical inflammasome activation, cuts CGAS and may play a role in the regulation of antiviral innate immune activation.
99	SCARF1	9606.ENSP00000263071	SCARF1	Scavenger receptor class F member 1; Mediates the binding and degradation of acetylated low density lipoprotein (Ac-LDL). Mediates heterophilic interactions, suggesting a function as adhesion protein. Plays a role in the regulation of neurite-like outgrowth (By similarity).
100	PDE9A	9606.ENSP00000291539	PDE9A	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A; Specifically hydrolyzes the second messenger cGMP, which is a key regulator of many important physiological processes. Highly specific: compared to other members of the cyclic nucleotide phosphodiesterase family, has the highest affinity and selectivity for cGMP. Specifically regulates natriuretic-peptide-dependent cGMP signaling in heart, acting as a regulator of cardiac hypertrophy in myocytes and muscle. Does not regulate nitric oxide-dependent cGMP in heart. Additional experiments are required to confirm whether its abi [...] 
101	VEGFA	9606.ENSP00000352798	COL18A1	Collagen alpha-1(XVIII) chain; Probably plays a major role in determining the retinal structure as well as in the closure of the neural tube.  Endostatin: Potently inhibits endothelial cell proliferation and angiogenesis. May inhibit angiogenesis by binding to the heparan sulfate proteoglycans involved in growth factor signaling (By similarity). Inhibits VEGFA-induced endothelial cell proliferation and migration. Seems to inhibit VEGFA-mediated signaling by blocking the interaction of VEGFA to its receptor KDR/VEGFR2. Modulates endothelial cell migration in an integrin-dependent manner [...] 
102	MFN1	9606.ENSP00000420617	MFN1	Mitofusin-1; Mitochondrial outer membrane GTPase that mediates mitochondrial clustering and fusion. Membrane clustering requires GTPase activity. It may involve a major rearrangement of the coiled coil domains. Mitochondria are highly dynamic organelles, and their morphology is determined by the equilibrium between mitochondrial fusion and fission events. Overexpression induces the formation of mitochondrial networks (in vitro). Has low GTPase activity.
103	NOS3	9606.ENSP00000297494	NOS3	Nitric oxide synthase, endothelial; Produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway. NO mediates vascular endothelial growth factor (VEGF)-induced angiogenesis in coronary vessels and promotes blood clotting through the activation of platelets; Belongs to the NOS family.
104	TBC1D2	9606.ENSP00000481721	TBC1D2	TBC1 domain family member 2A; Acts as GTPase-activating protein for RAB7A. Signal effector acting as a linker between RAC1 and RAB7A, leading to RAB7A inactivation and subsequent inhibition of cadherin degradation and reduced cell-cell adhesion.
105	TFAP2C	9606.ENSP00000201031	TFAP2C	Transcription factor AP-2 gamma; Sequence-specific DNA-binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes. AP-2 factors bind to the consensus sequence 5'-GCCNNNGGC-3' and activate genes involved in a large spectrum of important biological functions including proper eye, face, body wall, limb and neural tube development. They also suppress a number of genes including MCAM/MUC18, C/EBP alpha and MYC. Involved in the MTA1-mediated epigenetic regulation of ESR1 expression in breast cancer.
106	MASP2	9606.ENSP00000383690	MASP2	Mannan-binding lectin serine protease 2 A chain; Serum protease that plays an important role in the activation of the complement system via mannose-binding lectin. After activation by auto-catalytic cleavage it cleaves C2 and C4, leading to their activation and to the formation of C3 convertase.
107	MCTP1	9606.ENSP00000424126	MCTP1	Multiple C2 and transmembrane domain-containing protein 1; Calcium sensor which is essential for the stabilization of normal baseline neurotransmitter release and for the induction and long-term maintenance of presynaptic homeostatic plasticity. Belongs to the MCTP family.
108	UPRT	9606.ENSP00000362481	UPRT	Uracil phosphoribosyltransferase homolog; Belongs to the UPRTase family.
109	UMPS	9606.ENSP00000232607	UMPS	Orotidine 5'-phosphate decarboxylase; Uridine monophosphate synthetase; In the C-terminal section; belongs to the OMP decarboxylase family.
110	RIOX1	9606.ENSP00000477507	RIOX1	Ribosomal oxygenase 1; Oxygenase that can act as both a histone lysine demethylase and a ribosomal histidine hydroxylase. Specifically demethylates 'Lys- 4' (H3K4me) and 'Lys-36' (H3K36me) of histone H3, thereby playing a central role in histone code. Preferentially demethylates trimethylated H3 'Lys-4' (H3K4me3) and monomethylated H3 'Lys-4' (H3K4me1) residues, while it has weaker activity for dimethylated H3 'Lys-36' (H3K36me2). Also catalyzes the hydroxylation of 60S ribosomal protein L8 on 'His- 216'. Acts as a regulator of osteoblast differentiation via its interaction with SP7/OS [...] 
111	NCAM1	9606.ENSP00000480132	NCAM1	Neural cell adhesion molecule 1; This protein is a cell adhesion molecule involved in neuron- neuron adhesion, neurite fasciculation, outgrowth of neurites, etc.
112	PIP4K2B	9606.ENSP00000482548	PIP4K2B	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta; Participates in the biosynthesis of phosphatidylinositol 4,5- bisphosphate.
113	ASNS	9606.ENSP00000377845	ASNS	Asparagine synthetase.
114	WEE1	9606.ENSP00000402084	WEE1	Wee1-like protein kinase; Acts as a negative regulator of entry into mitosis (G2 to M transition) by protecting the nucleus from cytoplasmically activated cyclin B1-complexed CDK1 before the onset of mitosis by mediating phosphorylation of CDK1 on 'Tyr-15'. Specifically phosphorylates and inactivates cyclin B1-complexed CDK1 reaching a maximum during G2 phase and a minimum as cells enter M phase. Phosphorylation of cyclin B1-CDK1 occurs exclusively on 'Tyr-15' and phosphorylation of monomeric CDK1 does not occur. Its activity increases during S and G2 phases and decreases at M phase wh [...] 
115	TERF2	9606.ENSP00000254942	TERF2	Telomeric repeat-binding factor 2; Binds the telomeric double-stranded 5'-TTAGGG-3' repeat and plays a central role in telomere maintenance and protection against end-to-end fusion of chromosomes. In addition to its telomeric DNA- binding role, required to recruit a number of factors and enzymes required for telomere protection, including the shelterin complex, TERF2IP/RAP1 and DCLRE1B/Apollo. Component of the shelterin complex (telosome) that is involved in the regulation of telomere length and protection. Shelterin associates with arrays of double-stranded 5'- TTAGGG-3' repeats added [...] 
116	P3H1	9606.ENSP00000236040	P3H1	Prolyl 3-hydroxylase 1; Basement membrane-associated chondroitin sulfate proteoglycan (CSPG). Has prolyl 3-hydroxylase activity catalyzing the post- translational formation of 3-hydroxyproline in -Xaa-Pro-Gly- sequences in collagens, especially types IV and V. May be involved in the secretory pathway of cells. Has growth suppressive activity in fibroblasts.
117	REEP3	9606.ENSP00000362863	REEP3	Receptor expression-enhancing protein 3; Microtubule-binding protein required to ensure proper cell division and nuclear envelope reassembly by sequestering the endoplasmic reticulum away from chromosomes during mitosis. Probably acts by clearing the endoplasmic reticulum membrane from metaphase chromosomes; Belongs to the DP1 family.
118	MTX1	9606.ENSP00000357360	MTX1	Metaxin-1; Involved in transport of proteins into the mitochondrion. Essential for embryonic development (By similarity).
119	NRL	9606.ENSP00000454062	NRL	Neural retina-specific leucine zipper protein; Acts as a transcriptional activator which regulates the expression of several rod-specific genes, including RHO and PDE6B. Functions also as a transcriptional coactivator, stimulating transcription mediated by the transcription factor CRX and NR2E3. Binds in a sequence-specific manner to the rhodopsin promoter.
120	GRIK2	9606.ENSP00000397026	GRIK2	Glutamate receptor ionotropic, kainate 2; Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. May be involved in the transmission of light information from the retina to the hypothalamus. M [...] 
121	CDCP1	9606.ENSP00000296129	CDCP1	CUB domain-containing protein 1; May be involved in cell adhesion and cell matrix association. May play a role in the regulation of anchorage versus migration or proliferation versus differentiation via its phosphorylation. May be a novel marker for leukemia diagnosis and for immature hematopoietic stem cell subsets. Belongs to the tetraspanin web involved in tumor progression and metastasis.
122	PRDX5	9606.ENSP00000265462	PRDX5	Peroxiredoxin-5, mitochondrial; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events; Belongs to the peroxiredoxin family. Prx5 subfamily.
123	PANK2	9606.ENSP00000313377	PANK2	Pantothenate kinase 2, mitochondrial; May be the master regulator of the CoA biosynthesis. Belongs to the type II pantothenate kinase family.
124	PCSK6	9606.ENSP00000482760	PCSK6	Proprotein convertase subtilisin/kexin type 6; Serine endoprotease that processes various proproteins by cleavage at paired basic amino acids, recognizing the RXXX[KR]R consensus motif. Likely functions in the constitutive secretory pathway, with unique restricted distribution in both neuroendocrine and non-neuroendocrine tissues.
125	HLF	9606.ENSP00000226067	HLF	Hepatic leukemia factor; HLF transcription factor, PAR bZIP family member; Belongs to the bZIP family. PAR subfamily.
126	ZC4H2	9606.ENSP00000363972	ZC4H2	Zinc finger C4H2 domain-containing protein; Plays a role in interneurons differentiation. Involved in neuronal development and in neuromuscular junction formation.
127	TIGIT	9606.ENSP00000419085	TIGIT	T-cell immunoreceptor with Ig and ITIM domains; Binds with high affinity to the poliovirus receptor (PVR) which causes increased secretion of IL10 and decreased secretion of IL12B and suppresses T-cell activation by promoting the generation of mature immunoregulatory dendritic cells.
128	MAX	9606.ENSP00000351490	MAX	Protein max; Transcription regulator. Forms a sequence-specific DNA- binding protein complex with MYC or MAD which recognizes the core sequence 5'-CAC[GA]TG-3'. The MYC:MAX complex is a transcriptional activator, whereas the MAD:MAX complex is a repressor. May repress transcription via the recruitment of a chromatin remodeling complex containing H3 'Lys-9' histone methyltransferase activity. Represses MYC transcriptional activity from E-box elements.
129	DIABLO	9606.ENSP00000499058	DIABLO	Diablo IAP-binding mitochondrial protein.
130	TMC5	9606.ENSP00000379531	TMC5	Transmembrane channel-like protein 5; Probable ion channel.
131	TLK1	9606.ENSP00000411099	TLK1	Serine/threonine-protein kinase tousled-like 1; Rapidly and transiently inhibited by phosphorylation following the generation of DNA double-stranded breaks during S-phase. This is cell cycle checkpoint and ATM-pathway dependent and appears to regulate processes involved in chromatin assembly. Isoform 3 phosphorylates and enhances the stability of the t-SNARE SNAP23, augmenting its assembly with syntaxin. Isoform 3 protects the cells from the ionizing radiation by facilitating the repair of DSBs. In vitro, phosphorylates histone H3 at 'Ser-10'. Belongs to the protein kinase superfamily. [...] 
132	RSBN1L	9606.ENSP00000334040	RSBN1L	Lysine-specific demethylase RSBN1L; Lysine-specific demethylase that specifically demethylates methylated lysine residues of proteins; Belongs to the round spermatid basic protein 1 family.
133	CHEK2	9606.ENSP00000372023	CHEK2	Serine/threonine-protein kinase Chk2; Serine/threonine-protein kinase which is required for checkpoint-mediated cell cycle arrest, activation of DNA repair and apoptosis in response to the presence of DNA double-strand breaks. May also negatively regulate cell cycle progression during unperturbed cell cycles. Following activation, phosphorylates numerous effectors preferentially at the consensus sequence [L-X-R-X-X-S/T]. Regulates cell cycle checkpoint arrest through phosphorylation of CDC25A, CDC25B and CDC25C, inhibiting their activity. Inhibition of CDC25 phosphatase activity leads  [...] 
134	BTN3A1	9606.ENSP00000289361	BTN3A1	Butyrophilin subfamily 3 member A1; Plays a role in T-cell activation and in the adaptive immune response. Regulates the proliferation of activated T-cells. Regulates the release of cytokines and IFNG by activated T-cells. Mediates the response of T-cells toward infected and transformed cells that are characterized by high levels of phosphorylated metabolites, such as isopentenyl pyrophosphate.
135	RARB	9606.ENSP00000332296	RARB	Retinoic acid receptor beta; Receptor for retinoic acid. Retinoic acid receptors bind as heterodimers to their target response elements in response to their ligands, all-trans or 9-cis retinoic acid, and regulate gene expression in various biological processes. The RXR/RAR heterodimers bind to the retinoic acid response elements (RARE) composed of tandem 5'-AGGTCA-3' sites known as DR1-DR5. In the absence or presence of hormone ligand, acts mainly as an activator of gene expression due to weak binding to corepressors. The RXRA/RARB heterodimer can act as a repressor on the DR1 element  [...] 
136	GDNF	9606.ENSP00000409007	GDNF	Glial cell line-derived neurotrophic factor; Neurotrophic factor that enhances survival and morphological differentiation of dopaminergic neurons and increases their high- affinity dopamine uptake; Belongs to the TGF-beta family. GDNF subfamily.
137	TNFAIP1	9606.ENSP00000226225	TNFAIP1	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2; Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex involved in regulation of cytoskeleton structure. The BCR(TNFAIP1) E3 ubiquitin ligase complex mediates the ubiquitination of RHOA, leading to its degradation by the proteasome, thereby regulating the actin cytoskeleton and cell migration. Its interaction with RHOB may regulate apoptosis. May enhance the PCNA- dependent DNA polymerase delta activity; Belongs to the BACURD family.
138	CADM1	9606.ENSP00000329797	CADM1	Cell adhesion molecule 1; Mediates homophilic cell-cell adhesion in a Ca(2+)- independent manner. Also mediates heterophilic cell-cell adhesion with CADM3 and NECTIN3 in a Ca(2+)-independent manner. Acts as a tumor suppressor in non-small-cell lung cancer (NSCLC) cells. Interaction with CRTAM promotes natural killer (NK) cell cytotoxicity and interferon-gamma (IFN-gamma) secretion by CD8+ cells in vitro as well as NK cell-mediated rejection of tumors expressing CADM3 in vivo. May contribute to the less invasive phenotypes of lepidic growth tumor cells. In mast cells, may mediate attach [...] 
139	NLRP3	9606.ENSP00000337383	NLRP3	NACHT, LRR and PYD domains-containing protein 3; As the sensor component of the NLRP3 inflammasome, plays a crucial role in innate immunity and inflammation. In response to pathogens and other damage-associated signals, initiates the formation of the inflammasome polymeric complex, made of NLRP3, PYCARD and CASP1 (and possibly CASP4 and CASP5). Recruitment of proCASP1 to the inflammasome promotes its activation and CASP1-catalyzed IL1B and IL18 maturation and secretion in the extracellular milieu. Activation of NLRP3 inflammasome is also required for HMGB1 secretion. The active cytokin [...] 
140	BTBD6	9606.ENSP00000376337	BTBD6	BTB/POZ domain-containing protein 6; Adapter protein for the cul3 E3 ubiquitin-protein ligase complex (By similarity). Involved in late neuronal development and muscle formation (By similarity).
141	ESR1	9606.ENSP00000405330	ESR1	Estrogen receptor; Nuclear hormone receptor. The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Ligand-dependent nuclear transactivation involves either direct homodimer binding to a palindromic estrogen response element (ERE) sequence or association with other DNA-binding transcription factors, such as AP-1/c-Jun, c-Fos, ATF-2, Sp1 and Sp3, to mediate ERE- independent signaling. Ligand binding induces a conformational change allowing subsequent or combinatorial a [...] 
142	PSPC1	9606.ENSP00000343966	PSPC1	Paraspeckle component 1; Regulates, cooperatively with NONO and SFPQ, androgen receptor-mediated gene transcription activity in Sertoli cell line (By similarity). Binds to poly(A), poly(G) and poly(U) RNA homopolymers. Regulates the circadian clock by repressing the transcriptional activator activity of the CLOCK-ARNTL/BMAL1 heterodimer (By similarity). Together with NONO, required for the formation of nuclear paraspeckles. Plays a role in the regulation of DNA virus-mediated innate immune response by assembling into the HDP-RNP complex, a complex that serves as a platform for IRF3 pho [...] 
143	SCYL1	9606.ENSP00000270176	SCYL1	N-terminal kinase-like protein; Regulates COPI-mediated retrograde protein traffic at the interface between the Golgi apparatus and the endoplasmic reticulum. Involved in the maintenance of the Golgi apparatus morphology. Has no detectable kinase activity in vitro.
145	MCTP2	9606.ENSP00000350377	MCTP2	Multiple C2 and transmembrane domain-containing protein 2; Might play a role in the development of cardiac outflow tract; Belongs to the MCTP family.
146	B4GALNT2	9606.ENSP00000300404	B4GALNT2	Beta-1,4 N-acetylgalactosaminyltransferase 2; Involved in the synthesis of the Sd(a) antigen (Sia-alpha2,3- [GalNAc-beta1,4]Gal-beta1,4-GlcNAc), a carbohydrate determinant expressed on erythrocytes, the colonic mucosa and other tissues. Transfers a beta-1,4-linked GalNAc to the galactose residue of an alpha-2,3-sialylated chain.
147	CAPN3	9606.ENSP00000380349	CAPN3	Calpain-3; Calcium-regulated non-lysosomal thiol-protease; Belongs to the peptidase C2 family.
148	NAAA	9606.ENSP00000286733	NAAA	N-acylethanolamine-hydrolyzing acid amidase subunit alpha; Degrades bioactive fatty acid amides to their corresponding acids, with the following preference: N-palmitoylethanolamine > N- myristoylethanolamine > N-lauroylethanolamine = N-stearoylethanolamine > N-arachidonoylethanolamine > N-oleoylethanolamine. Also exhibits weak hydrolytic activity against the ceramides N-lauroylsphingosine and N- palmitoylsphingosine.
149	DUT	9606.ENSP00000370376	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial; This enzyme is involved in nucleotide metabolism: it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA.
150	CASP9	9606.ENSP00000330237	CASP9	Caspase-9 subunit p10; Involved in the activation cascade of caspases responsible for apoptosis execution. Binding of caspase-9 to Apaf-1 leads to activation of the protease which then cleaves and activates caspase-3. Promotes DNA damage-induced apoptosis in a ABL1/c-Abl-dependent manner. Proteolytically cleaves poly(ADP-ribose) polymerase (PARP); Belongs to the peptidase C14A family.
151	PAIP1	9606.ENSP00000302768	PAIP1	Polyadenylate-binding protein-interacting protein 1; Acts as a coactivator in the regulation of translation initiation of poly(A)-containing mRNAs. Its stimulatory activity on translation is mediated via its action on PABPC1. Competes with PAIP2 for binding to PABPC1. Its association with EIF4A and PABPC1 may potentiate contacts between mRNA termini. May also be involved in translationally coupled mRNA turnover. Implicated with other RNA- binding proteins in the cytoplasmic deadenylation/translational and decay interplay of the FOS mRNA mediated by the major coding-region determinant o [...] 
152	TMC3	9606.ENSP00000352413	TMC3	Transmembrane channel-like protein 3; Probable ion channel.
153	NUDT6	9606.ENSP00000306070	NUDT6	Nucleoside diphosphate-linked moiety X motif 6; May contribute to the regulation of cell proliferation. Belongs to the Nudix hydrolase family.
154	MPZL1	9606.ENSP00000352513	MPZL1	Myelin protein zero-like protein 1; Cell surface receptor, which is involved in signal transduction processes. Recruits PTPN11/SHP-2 to the cell membrane and is a putative substrate of PTPN11/SHP-2. Is a major receptor for concanavalin-A (ConA) and is involved in cellular signaling induced by ConA, which probably includes Src family tyrosine-protein kinases. Isoform 3 seems to have a dominant negative role; it blocks tyrosine phosphorylation of MPZL1 induced by ConA. Isoform 1, but not isoform 2 and isoform 3, may be involved in regulation of integrin-mediated cell motility.
155	BDH2	9606.ENSP00000296424	BDH2	3-hydroxybutyrate dehydrogenase type 2; Dehydrogenase that mediates the formation of 2,5- dihydroxybenzoic acid (2,5-DHBA), a siderophore that shares structural similarities with bacterial enterobactin and associates with LCN2, thereby playing a key role in iron assimilation and homeostasis. Plays a role in susceptibility to bacterial infection by providing an assimilable source of iron that is exploited by pathogenic bacteria (By similarity). Also acts as a 3-hydroxybutyrate dehydrogenase.
156	TFR2	9606.ENSP00000420525	TFR2	Transferrin receptor protein 2; Mediates cellular uptake of transferrin-bound iron in a non- iron dependent manner. May be involved in iron metabolism, hepatocyte function and erythrocyte differentiation; Belongs to the peptidase M28 family. M28B subfamily.
157	IRAK4	9606.ENSP00000479889	IRAK4	Interleukin-1 receptor-associated kinase 4; Serine/threonine-protein kinase that plays a critical role in initiating innate immune response against foreign pathogens. Involved in Toll-like receptor (TLR) and IL-1R signaling pathways. Is rapidly recruited by MYD88 to the receptor- signaling complex upon TLR activation to form the Myddosome together with IRAK2. Phosphorylates initially IRAK1, thus stimulating the kinase activity and intensive autophosphorylation of IRAK1. Phosphorylates E3 ubiquitin ligases Pellino proteins (PELI1, PELI2 and PELI3) to promote pellino-mediated polyubiquit [...] 
158	GET4	9606.ENSP00000265857	GET4	Golgi to ER traffic protein 4 homolog; As part of a cytosolic protein quality control complex, the BAG6/BAT3 complex, maintains misfolded and hydrophobic patches- containing proteins in a soluble state and participates to their proper delivery to the endoplasmic reticulum or alternatively can promote their sorting to the proteasome where they undergo degradation. The BAG6/BAT3 complex is involved in the post-translational delivery of tail-anchored/type II transmembrane proteins to the endoplasmic reticulum membrane. Recruited to ribosomes, it interacts with the transmembrane region of  [...] 
159	FLAD1	9606.ENSP00000292180	FLAD1	Molybdenum cofactor biosynthesis protein-like region; Catalyzes the adenylation of flavin mononucleotide (FMN) to form flavin adenine dinucleotide (FAD) coenzyme. In the C-terminal section; belongs to the PAPS reductase family. FAD1 subfamily.
160	KCNH5	9606.ENSP00000321427	KCNH5	Potassium voltage-gated channel subfamily H member 5; Pore-forming (alpha) subunit of voltage-gated potassium channel. Elicits a non-inactivating outward rectifying current. Channel properties may be modulated by cAMP and subunit assembly; Belongs to the potassium channel family. H (Eag) (TC 1.A.1.20) subfamily. Kv10.2/KCNH5 sub-subfamily.
161	SYN2	9606.ENSP00000480050	SYN2	Synapsin-2; Neuronal phosphoprotein that coats synaptic vesicles, binds to the cytoskeleton, and is believed to function in the regulation of neurotransmitter release. May play a role in noradrenaline secretion by sympathetic neurons (By similarity); Belongs to the synapsin family.
162	DMPK	9606.ENSP00000345997	DMPK	Myotonin-protein kinase; Non-receptor serine/threonine protein kinase which is necessary for the maintenance of skeletal muscle structure and function. May play a role in myocyte differentiation and survival by regulating the integrity of the nuclear envelope and the expression of muscle-specific genes. May also phosphorylate PPP1R12A and inhibit the myosin phosphatase activity to regulate myosin phosphorylation. Also critical to the modulation of cardiac contractility and to the maintenance of proper cardiac conduction activity probably through the regulation of cellular calcium homeo [...] 
163	ANO3	9606.ENSP00000256737	ANO3	Anoctamin-3; Has calcium-dependent phospholipid scramblase activity; scrambles phosphatidylcholine and galactosylceramide (By similarity). Seems to act as potassium channel regulator and may inhibit pain signaling; can facilitate KCNT1/Slack channel activity by promoting its full single-channel conductance at very low sodium concentrations and by increasing its sodium sensitivity (By similarity). Does not exhibit calcium-activated chloride channel (CaCC) activity.
164	SOAT1	9606.ENSP00000356591	SOAT1	Sterol O-acyltransferase 1; Catalyzes the formation of fatty acid-cholesterol esters, which are less soluble in membranes than cholesterol. Plays a role in lipoprotein assembly and dietary cholesterol absorption. In addition to its acyltransferase activity, it may act as a ligase.
165	NADK2	9606.ENSP00000371362	NADK2	NAD kinase 2, mitochondrial; Mitochondrial NAD(+) kinase that phosphorylates NAD(+) to yield NADP(+). Can use both ATP or inorganic polyphosphate as the phosphoryl donor. Also has weak NADH kinase activity in vitro; however NADH kinase activity is much weaker than the NAD(+) kinase activity and may not be relevant in vivo.
166	SPAG6	9606.ENSP00000365811	SPAG6	Sperm-associated antigen 6; Important for structural integrity of the central apparatus in the sperm tail and for flagellar motility.
167	NT5C1B	9606.ENSP00000352904	NT5C1B	Cytosolic 5'-nucleotidase 1B; Dephosphorylates the 5' and 2'(3')-phosphates of deoxyribonucleotides. Helps to regulate adenosine levels (By similarity).
168	KCNA3	9606.ENSP00000358784	KCNA3	Potassium voltage-gated channel subfamily A member 3; Mediates the voltage-dependent potassium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a potassium-selective channel through which potassium ions may pass in accordance with their electrochemical gradient.
169	KLHDC2	9606.ENSP00000298307	KLHDC2	Kelch domain-containing protein 2; Represses CREB3-mediated transcription by interfering with CREB3-DNA binding.
170	SRI	9606.ENSP00000265729	SRI	Sorcin; Calcium-binding protein that modulates excitation-contraction coupling in the heart. Contributes to calcium homeostasis in the heart sarcoplasmic reticulum. Modulates the activity of RYR2 calcium channels.
172	RRAGD	9606.ENSP00000358423	RRAGD	Ras-related GTP-binding protein D; Guanine nucleotide-binding protein forming heterodimeric Rag complexes required for the amino acid-induced relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. This is a crucial step in the activation of the TOR signaling cascade by amino acids.
173	UXS1	9606.ENSP00000283148	UXS1	UDP-glucuronic acid decarboxylase 1; Catalyzes the NAD-dependent decarboxylation of UDP-glucuronic acid to UDP-xylose. Necessary for the biosynthesis of the core tetrasaccharide in glycosaminoglycan biosynthesis.
174	PMS2	9606.ENSP00000265849	PMS2	Mismatch repair endonuclease PMS2; Component of the post-replicative DNA mismatch repair system (MMR). Heterodimerizes with MLH1 to form MutL alpha. DNA repair is initiated by MutS alpha (MSH2-MSH6) or MutS beta (MSH2-MSH3) binding to a dsDNA mismatch, then MutL alpha is recruited to the heteroduplex. Assembly of the MutL-MutS-heteroduplex ternary complex in presence of RFC and PCNA is sufficient to activate endonuclease activity of PMS2. It introduces single-strand breaks near the mismatch and thus generates new entry points for the exonuclease EXO1 to degrade the strand containing th [...] 
175	GLYR1	9606.ENSP00000322716	GLYR1	Putative oxidoreductase GLYR1; Nucleosome-destabilizing factor that is recruited to genes during transcriptional activation. Facilitates Pol II transcription through nucleosomes. Binds DNA (in vitro). Recognizes and binds trimethylated 'Lys-36' of histone H3 (H3K36me3). Promotes KDM1B demethylase activity. Stimulates the acetylation of 'Lys-56' of nucleosomal histone H3 (H3K56ac) by EP300. Regulates p38 MAP kinase activity by mediating stress activation of p38alpha/MAPK14 and specifically regulating MAPK14 signaling. Indirectly promotes phosphorylation of MAPK14 and activation of ATF2. [...] 
