gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome
MRPL22,Q9NWU5,Q9NWU5-3,0.21,0.07,206,126,Monomer Baseline / Stochastic Signal
PCDHGA7,Q9Y5G6,Q9Y5G6-2,0.46,0.53,932,817,Monomer Baseline / Stochastic Signal
CEACAM1,P13688,P13688-3,0.5,0.59,526,321,Monomer Baseline / Stochastic Signal
CEACAM1,P13688,P13688-8,0.5,0.52,526,464,Monomer Baseline / Stochastic Signal
CEACAM1,P13688,P13688-2,0.5,0.56,526,417,Monomer Baseline / Stochastic Signal
CEACAM1,P13688,P13688-10,0.5,0.53,526,468,Monomer Baseline / Stochastic Signal
C1orf122,Q6ZSJ8,Q6ZSJ8-2,0.25,0.05,110,47,Monomer Baseline / Stochastic Signal
AURKC,Q9UQB9,Q9UQB9-2,0.26,0.27,309,275,Monomer Baseline / Stochastic Signal
AURKC,Q9UQB9,Q9UQB9-3,0.26,0.26,309,290,Monomer Baseline / Stochastic Signal
GARS1,P41250,P41250-2,0.8,0.86,739,685,Conserved at >0.8
ALDH9A1,P49189,P49189-2,0.95,0.95,494,424,Conserved at >0.8
DNAJC10,Q8IXB1,Q8IXB1-3,0.18,0.19,793,332,Monomer Baseline / Stochastic Signal
GYG2,O15488,O15488-5,0.6,0.66,501,406,Conserved at >0.6
ZNF695,Q8IW36,Q8IW36-3,0.15,0.52,515,88,Monomer Baseline / Stochastic Signal
ZNF695,Q8IW36,Q8IW36-2,0.15,0.12,515,133,Monomer Baseline / Stochastic Signal
FAR2,Q96K12,Q96K12-2,0.74,0.67,515,418,Ablation from >0.7 Canonical
MTMR7,Q9Y216,Q9Y216-2,0.19,0.19,660,555,Monomer Baseline / Stochastic Signal
ZBBX,A8MT70,A8MT70-3,0.23,0.24,800,771,Monomer Baseline / Stochastic Signal
GC,P02774,P02774-2,0.14,0.15,474,352,Monomer Baseline / Stochastic Signal
KLRG1,Q96E93,Q96E93-2,0.41,0.53,195,189,Monomer Baseline / Stochastic Signal
VPS53,Q5VIR6,Q5VIR6-1,0.34,0.24,832,699,Monomer Baseline / Stochastic Signal
VPS53,Q5VIR6,Q5VIR6-3,0.34,0.23,832,672,Monomer Baseline / Stochastic Signal
NECAP1,Q8NC96,Q8NC96-2,0.14,0.38,275,102,Monomer Baseline / Stochastic Signal
NDUFS2,O75306,O75306-2,0.14,0.14,463,457,Monomer Baseline / Stochastic Signal
SSC4D,Q8WTU2,Q8WTU2-2,0.17,0.12,575,274,Monomer Baseline / Stochastic Signal
BICC1,Q9H694,Q9H694-2,0.2,0.18,974,880,Monomer Baseline / Stochastic Signal
MAPRE2,Q15555,Q15555-2,0.5,0.12,327,259,Monomer Baseline / Stochastic Signal
MAPRE2,Q15555,Q15555-5,0.5,0.31,327,284,Monomer Baseline / Stochastic Signal
MTO1,Q9Y2Z2,Q9Y2Z2-5,0.23,0.2,717,643,Monomer Baseline / Stochastic Signal
MTO1,Q9Y2Z2,Q9Y2Z2-3,0.23,0.59,717,313,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-2,0.23,0.24,777,742,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-8,0.23,0.24,777,751,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-15,0.23,0.22,777,447,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-12,0.23,0.23,777,688,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-11,0.23,0.23,777,692,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-14,0.23,0.24,777,462,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-13,0.23,0.23,777,680,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-16,0.23,0.24,777,442,Monomer Baseline / Stochastic Signal
NR3C1,P04150,P04150-9,0.23,0.23,777,716,Monomer Baseline / Stochastic Signal
CCDC125,Q86Z20,Q86Z20-2,0.33,0.37,511,386,Monomer Baseline / Stochastic Signal
GAS8,O95995,O95995-2,0.37,0.37,478,453,Monomer Baseline / Stochastic Signal
AK3,Q9UIJ7,Q9UIJ7-2,0.16,0.08,227,157,Monomer Baseline / Stochastic Signal
OXCT1,P55809,P55809-2,0.91,0.17,520,123,Ablation from >0.8 Canonical
KLC1,Q07866,Q07866-2,0.25,0.25,573,560,Monomer Baseline / Stochastic Signal
KLC1,Q07866,Q07866-8,0.25,0.27,573,551,Monomer Baseline / Stochastic Signal
KLC1,Q07866,Q07866-3,0.25,0.25,573,564,Monomer Baseline / Stochastic Signal
GNAI2,P04899,P04899-3,0.16,0.14,355,318,Monomer Baseline / Stochastic Signal
GNAI2,P04899,P04899-6,0.16,0.15,355,303,Monomer Baseline / Stochastic Signal
MRM1,Q6IN84,Q6IN84-2,0.75,0.58,353,155,Ablation from >0.7 Canonical
DCBLD1,Q8N8Z6,Q8N8Z6-2,0.36,0.14,715,539,Monomer Baseline / Stochastic Signal
RAD51C,O43502,O43502-2,0.33,0.14,376,135,Monomer Baseline / Stochastic Signal
WEE1,P30291,P30291-2,0.5,0.68,646,432,Monomer Baseline / Stochastic Signal
EFHC2,Q5JST6,Q5JST6-2,0.17,0.14,749,162,Monomer Baseline / Stochastic Signal
HDAC7,Q8WUI4,Q8WUI4-10,0.21,0.21,952,614,Monomer Baseline / Stochastic Signal
HDAC7,Q8WUI4,Q8WUI4-9,0.21,0.26,952,425,Monomer Baseline / Stochastic Signal
KCTD14,Q9BQ13,Q9BQ13-2,0.32,0.36,255,225,Monomer Baseline / Stochastic Signal
TMX3,Q96JJ7,Q96JJ7-2,0.14,0.2,454,195,Monomer Baseline / Stochastic Signal
RIPOR3,Q96MK2,Q96MK2-2,0.2,0.29,946,593,Monomer Baseline / Stochastic Signal
KCNQ5,Q9NR82,Q9NR82-4,0.4,0.53,932,427,Monomer Baseline / Stochastic Signal
AMER1,Q5JTC6,Q5JTC6-2,0.22,0.21,1135,804,Monomer Baseline / Stochastic Signal
LRTM1,Q9HBL6,Q9HBL6-2,0.59,0.56,345,269,Monomer Baseline / Stochastic Signal
DFFB,O76075,O76075-2,0.85,0.69,338,270,Ablation from >0.8 Canonical
SLC35E2A,P0CK97,P0CK97-2,0.17,0.16,266,246,Monomer Baseline / Stochastic Signal
DNAJC5,Q9H3Z4,Q9H3Z4-2,0.22,0.25,198,167,Monomer Baseline / Stochastic Signal
COQ10B,Q9H8M1,Q9H8M1-2,0.44,0.45,238,195,Monomer Baseline / Stochastic Signal
CIMAP2,Q3ZCV2,Q3ZCV2-2,0.11,0.12,418,414,Monomer Baseline / Stochastic Signal
YY1AP1,Q9H869,Q9H869-4,0.18,0.16,796,730,Monomer Baseline / Stochastic Signal
YY1AP1,Q9H869,Q9H869-6,0.18,0.17,796,719,Monomer Baseline / Stochastic Signal
YY1AP1,Q9H869,Q9H869-7,0.18,0.15,796,467,Monomer Baseline / Stochastic Signal
TOP3A,Q13472,Q13472-2,0.19,0.19,1001,976,Monomer Baseline / Stochastic Signal
MCF2L2,Q86YR7,Q86YR7-3,0.34,0.41,1114,628,Monomer Baseline / Stochastic Signal
MCF2L2,Q86YR7,Q86YR7-2,0.34,0.43,1114,711,Monomer Baseline / Stochastic Signal
MCF2L2,Q86YR7,Q86YR7-4,0.34,0.35,1114,1074,Monomer Baseline / Stochastic Signal
CRISPLD2,Q9H0B8,Q9H0B8-3,0.18,0.2,497,371,Monomer Baseline / Stochastic Signal
CRISPLD2,Q9H0B8,Q9H0B8-2,0.18,0.15,497,449,Monomer Baseline / Stochastic Signal
CRISPLD2,Q9H0B8,Q9H0B8-5,0.18,0.11,497,120,Monomer Baseline / Stochastic Signal
RDM1,Q8NG50,Q8NG50-8,0.12,0.16,284,137,Monomer Baseline / Stochastic Signal
RDM1,Q8NG50,Q8NG50-3,0.12,0.14,284,139,Monomer Baseline / Stochastic Signal
UIMC1,Q96RL1,Q96RL1-3,0.18,0.17,719,641,Monomer Baseline / Stochastic Signal
LMO1,P25800,P25800-2,0.2,0.14,156,155,Monomer Baseline / Stochastic Signal
TMEM158,Q8WZ71,Q8WZ71-2,0.43,0.45,300,286,Monomer Baseline / Stochastic Signal
SMC2,O95347,O95347-2,0.35,0.34,1197,1099,Monomer Baseline / Stochastic Signal
RASSF5,Q8WWW0,Q8WWW0-3,0.19,0.14,418,336,Monomer Baseline / Stochastic Signal
NSUN2,Q08J23,Q08J23-3,0.18,0.14,767,531,Monomer Baseline / Stochastic Signal
USPL1,Q5W0Q7,Q5W0Q7-2,0.2,0.19,1092,763,Monomer Baseline / Stochastic Signal
ACTR3C,Q9C0K3,Q9C0K3-2,0.31,0.18,210,47,Monomer Baseline / Stochastic Signal
KMT5A,Q9NQR1,Q9NQR1-2,0.3,0.22,393,352,Monomer Baseline / Stochastic Signal
STIM1,Q13586,Q13586-2,0.3,0.31,685,540,Monomer Baseline / Stochastic Signal
NUDT6,P53370,P53370-2,0.79,0.89,316,147,Conserved at >0.7
VPS33B,Q9H267,Q9H267-2,0.18,0.15,617,526,Monomer Baseline / Stochastic Signal
ACSL6,Q9UKU0-1,Q9UKU0,0.18,0.18,722,697,Monomer Baseline / Stochastic Signal
SPOCK3,Q9BQ16-1,Q9BQ16-7,0.14,0.16,433,316,Monomer Baseline / Stochastic Signal
SPOCK3,Q9BQ16-1,Q9BQ16-9,0.14,0.15,433,313,Monomer Baseline / Stochastic Signal
GAPDH,P04406,P04406-2,0.89,0.89,335,293,Conserved at >0.8
ARSB,P15848,P15848-2,0.14,0.18,533,413,Monomer Baseline / Stochastic Signal
SLC2A4RG,Q9NR83,Q9NR83-3,0.12,0.1,387,282,Monomer Baseline / Stochastic Signal
SLC2A4RG,Q9NR83,Q9NR83-4,0.12,0.13,387,189,Monomer Baseline / Stochastic Signal
SH3D19,Q5HYK7,Q5HYK7-4,0.19,0.14,790,420,Monomer Baseline / Stochastic Signal
UVSSA,Q2YD98,Q2YD98-2,0.24,0.11,709,260,Monomer Baseline / Stochastic Signal
PRXL2A,Q9BRX8,Q9BRX8-2,0.23,0.21,229,218,Monomer Baseline / Stochastic Signal
UGDH,O60701,O60701-3,0.9,0.88,494,397,Conserved at >0.8
CTNNA3,Q9UI47,Q9UI47-2,0.19,0.16,895,516,Monomer Baseline / Stochastic Signal
BIN2,Q9UBW5,Q9UBW5-3,0.46,0.47,565,539,Monomer Baseline / Stochastic Signal
ACOT13,Q9NPJ3,Q9NPJ3-2,0.94,0.86,140,117,Conserved at >0.8
NYAP2,Q9P242,Q9P242-3,0.18,0.08,653,159,Monomer Baseline / Stochastic Signal
ZNF132,P52740,P52740-2,0.16,0.14,706,589,Monomer Baseline / Stochastic Signal
AMY2B,P19961,P19961-2,0.17,0.17,511,370,Monomer Baseline / Stochastic Signal
NARS2,Q96I59,Q96I59-2,0.92,0.22,477,250,Ablation from >0.8 Canonical
PLA2G4F,Q68DD2,Q68DD2-2,0.65,0.17,849,454,Ablation from >0.6 Canonical
PTGFR,P43088,P43088-3,0.12,0.13,359,275,Monomer Baseline / Stochastic Signal
PTGFR,P43088,P43088-7,0.12,0.13,359,274,Monomer Baseline / Stochastic Signal
PTGFR,P43088,P43088-6,0.12,0.13,359,267,Monomer Baseline / Stochastic Signal
DUX4,Q9UBX2,Q9UBX2-2,0.25,0.43,424,160,Monomer Baseline / Stochastic Signal
LRRC31,Q6UY01,Q6UY01-3,0.2,0.17,552,346,Monomer Baseline / Stochastic Signal
LRRC31,Q6UY01,Q6UY01-4,0.2,0.18,552,443,Monomer Baseline / Stochastic Signal
ZNF569,Q5MCW4,Q5MCW4-2,0.16,0.13,686,527,Monomer Baseline / Stochastic Signal
SLC66A1,Q6ZP29,Q6ZP29-2,0.15,0.65,291,180,Monomer Baseline / Stochastic Signal
SLC66A1,Q6ZP29,Q6ZP29-3,0.15,0.14,291,226,Monomer Baseline / Stochastic Signal
KIAA0319L,Q8IZA0,Q8IZA0-2,0.4,0.4,1049,996,Monomer Baseline / Stochastic Signal
BEX3,Q00994,Q00994-2,0.23,0.16,111,101,Monomer Baseline / Stochastic Signal
SLCO3A1,Q9UIG8,Q9UIG8-2,0.17,0.17,710,692,Monomer Baseline / Stochastic Signal
SLCO3A1,Q9UIG8,Q9UIG8-4,0.17,0.46,710,429,Monomer Baseline / Stochastic Signal
SLCO3A1,Q9UIG8,Q9UIG8-3,0.17,0.15,710,582,Monomer Baseline / Stochastic Signal
RASGRP4,Q8TDF6,Q8TDF6-3,0.17,0.38,673,170,Monomer Baseline / Stochastic Signal
MTHFSD,Q2M296,Q2M296-2,0.19,0.17,383,382,Monomer Baseline / Stochastic Signal
CCNA1,P78396,P78396-3,0.22,0.21,465,421,Monomer Baseline / Stochastic Signal
CNKSR2,Q8WXI2,Q8WXI2-2,0.27,0.19,1034,898,Monomer Baseline / Stochastic Signal
KCNQ3,O43525,O43525-2,0.45,0.45,872,752,Monomer Baseline / Stochastic Signal
TRIM6,Q9C030,Q9C030-3,0.63,0.55,488,313,Ablation from >0.6 Canonical
ANXA4,P09525,P09525-2,0.2,0.52,319,237,Monomer Baseline / Stochastic Signal
SUV39H2,Q9H5I1,Q9H5I1-2,0.14,0.15,410,350,Monomer Baseline / Stochastic Signal
OPALIN,Q96PE5,Q96PE5-2,0.13,0.12,141,131,Monomer Baseline / Stochastic Signal
OPALIN,Q96PE5,Q96PE5-3,0.13,0.17,141,118,Monomer Baseline / Stochastic Signal
PHF11,Q9UIL8,Q9UIL8-2,0.44,0.47,331,292,Monomer Baseline / Stochastic Signal
PSIP1,O75475,O75475-3,0.14,0.12,530,329,Monomer Baseline / Stochastic Signal
PSIP1,O75475,O75475-2,0.14,0.13,530,333,Monomer Baseline / Stochastic Signal
APRT,P07741,P07741-2,0.94,0.88,180,134,Conserved at >0.8
PROM1,O43490,O43490-7,0.21,0.21,865,842,Monomer Baseline / Stochastic Signal
PROM1,O43490,O43490-6,0.21,0.21,865,834,Monomer Baseline / Stochastic Signal
SP140L,Q9H930,Q9H930-3,0.37,0.12,580,129,Monomer Baseline / Stochastic Signal
SP140L,Q9H930,Q9H930-1,0.37,0.21,580,438,Monomer Baseline / Stochastic Signal
WWOX,Q9NZC7,Q9NZC7-4,0.18,0.22,414,36,Monomer Baseline / Stochastic Signal
WWOX,Q9NZC7,Q9NZC7-2,0.18,0.19,414,363,Monomer Baseline / Stochastic Signal
FEZ1,Q99689,Q99689-2,0.13,0.15,392,104,Monomer Baseline / Stochastic Signal
MAP3K8,P41279,P41279-2,0.23,0.25,467,438,Monomer Baseline / Stochastic Signal
SMARCAD1,Q9H4L7,Q9H4L7-3,0.21,0.16,1026,596,Monomer Baseline / Stochastic Signal
PARPBP,Q9NWS1,Q9NWS1-4,0.18,0.33,579,133,Monomer Baseline / Stochastic Signal
PARPBP,Q9NWS1,Q9NWS1-5,0.18,0.14,579,294,Monomer Baseline / Stochastic Signal
PARPBP,Q9NWS1,Q9NWS1-2,0.18,0.21,579,498,Monomer Baseline / Stochastic Signal
KAT2A,Q92830,Q92830-2,0.17,0.15,837,427,Monomer Baseline / Stochastic Signal
CMPK2,Q5EBM0,Q5EBM0-4,0.25,0.27,449,409,Monomer Baseline / Stochastic Signal
UBE2Q1,Q7Z7E8,Q7Z7E8-2,0.15,0.11,422,253,Monomer Baseline / Stochastic Signal
LZTFL1,Q9NQ48,Q9NQ48-2,0.4,0.31,299,282,Monomer Baseline / Stochastic Signal
KIAA0319,Q5VV43,Q5VV43-3,0.38,0.37,1072,1027,Monomer Baseline / Stochastic Signal
ING5,Q8WYH8,Q8WYH8-2,0.28,0.25,240,226,Monomer Baseline / Stochastic Signal
NAIF1,Q69YI7,Q69YI7-2,0.26,0.16,327,172,Monomer Baseline / Stochastic Signal
ERAP2,Q6P179,Q6P179-2,0.19,0.38,960,532,Monomer Baseline / Stochastic Signal
MINDY3,Q9H8M7,Q9H8M7-2,0.28,0.13,445,136,Monomer Baseline / Stochastic Signal
SSX2IP,Q9Y2D8,Q9Y2D8-3,0.34,0.35,614,587,Monomer Baseline / Stochastic Signal
SSX2IP,Q9Y2D8,Q9Y2D8-2,0.34,0.35,614,560,Monomer Baseline / Stochastic Signal
IKBKE,Q14164,Q14164-2,0.83,0.8,716,631,Conserved at >0.8
RNF14,Q9UBS8,Q9UBS8-2,0.45,0.16,474,348,Monomer Baseline / Stochastic Signal
IRF2BP2,Q7Z5L9,Q7Z5L9-3,0.22,0.1,587,163,Monomer Baseline / Stochastic Signal
PHYHIPL,Q96FC7,Q96FC7-2,0.13,0.15,376,350,Monomer Baseline / Stochastic Signal
IFNAR2,P48551,P48551-3,0.13,0.12,515,239,Monomer Baseline / Stochastic Signal
PPME1,Q9Y570,Q9Y570-2,0.21,0.09,386,199,Monomer Baseline / Stochastic Signal
CRAT,P43155,P43155-2,0.21,0.22,626,605,Monomer Baseline / Stochastic Signal
RASL10A,Q92737,Q92737-2,0.15,0.2,203,115,Monomer Baseline / Stochastic Signal
TRIM13,O60858,O60858-2,0.51,0.1,407,175,Monomer Baseline / Stochastic Signal
MANEAL,Q5VSG8,Q5VSG8-3,0.15,0.23,457,250,Monomer Baseline / Stochastic Signal
FAAP100,Q0VG06,Q0VG06-3,0.36,0.18,881,730,Monomer Baseline / Stochastic Signal
RGMA,Q96B86,Q96B86-3,0.13,0.14,450,434,Monomer Baseline / Stochastic Signal
MPZL1,O95297,O95297-4,0.51,0.22,269,145,Monomer Baseline / Stochastic Signal
MPZL1,O95297,O95297-3,0.51,0.61,269,209,Monomer Baseline / Stochastic Signal
ADPRHL1,Q8NDY3,Q8NDY3-2,0.19,0.27,354,272,Monomer Baseline / Stochastic Signal
BTN2A2,Q8WVV5,Q8WVV5-2,0.26,0.21,523,336,Monomer Baseline / Stochastic Signal
LIN28B,Q6ZN17,Q6ZN17-2,0.16,0.07,250,180,Monomer Baseline / Stochastic Signal
RCL1,Q9Y2P8,Q9Y2P8-2,0.14,0.46,373,187,Monomer Baseline / Stochastic Signal
ZBTB8A,Q96BR9,Q96BR9-2,0.36,0.43,441,338,Monomer Baseline / Stochastic Signal
PCNP,Q8WW12,Q8WW12-3,0.11,0.06,178,55,Monomer Baseline / Stochastic Signal
FADS2,O95864,O95864-3,0.21,0.16,444,386,Monomer Baseline / Stochastic Signal
GTF2H1,P32780,P32780-2,0.15,0.22,548,432,Monomer Baseline / Stochastic Signal
CDH19,Q9H159,Q9H159-2,0.16,0.12,772,490,Monomer Baseline / Stochastic Signal
ARAF,P10398,P10398-2,0.47,0.11,606,186,Monomer Baseline / Stochastic Signal
METTL2A,Q96IZ6,Q96IZ6-2,0.19,0.13,378,242,Monomer Baseline / Stochastic Signal
KLHL24,Q6TFL4,Q6TFL4-2,0.75,0.51,600,537,Ablation from >0.7 Canonical
CDKL4,Q5MAI5,Q5MAI5-2,0.17,0.17,379,315,Monomer Baseline / Stochastic Signal
TMEM30A,Q9NV96,Q9NV96-3,0.16,0.12,361,242,Monomer Baseline / Stochastic Signal
ALDH1L1,O75891,O75891-4,0.68,0.19,902,505,Ablation from >0.6 Canonical
DQX1,Q8TE96,Q8TE96-3,0.18,0.18,717,357,Monomer Baseline / Stochastic Signal
DQX1,Q8TE96,Q8TE96-2,0.18,0.18,717,599,Monomer Baseline / Stochastic Signal
TMED4,Q7Z7H5,Q7Z7H5-3,0.18,0.18,227,186,Monomer Baseline / Stochastic Signal
MEST,Q5EB52,Q5EB52-2,0.14,0.17,335,326,Monomer Baseline / Stochastic Signal
TRMT13,Q9NUP7,Q9NUP7-2,0.14,0.2,481,175,Monomer Baseline / Stochastic Signal
BCAR3,O75815,O75815-2,0.19,0.26,825,501,Monomer Baseline / Stochastic Signal
CCT2,P78371,P78371-2,0.18,0.16,535,488,Monomer Baseline / Stochastic Signal
NAA60,Q9H7X0,Q9H7X0-3,0.45,0.22,242,177,Monomer Baseline / Stochastic Signal
LACTB,P83111,P83111-2,0.4,0.44,547,373,Monomer Baseline / Stochastic Signal
GGA1,Q9UJY5,Q9UJY5-3,0.34,0.34,639,566,Monomer Baseline / Stochastic Signal
POFUT2,Q9Y2G5,Q9Y2G5-2,0.2,0.17,429,380,Monomer Baseline / Stochastic Signal
PTGER3,P43115,P43115-4,0.12,0.12,390,374,Monomer Baseline / Stochastic Signal
PTGER3,P43115,P43115-3,0.12,0.12,390,365,Monomer Baseline / Stochastic Signal
RSL1D1,O76021,O76021-2,0.28,0.18,490,270,Monomer Baseline / Stochastic Signal
KLF11,O14901,O14901-2,0.15,0.15,512,495,Monomer Baseline / Stochastic Signal
SAR1A,Q9NR31,Q9NR31-2,0.12,0.25,198,155,Monomer Baseline / Stochastic Signal
ZNF274,Q96GC6,Q96GC6-3,0.27,0.29,653,548,Monomer Baseline / Stochastic Signal
CARD9,Q9H257,Q9H257-3,0.39,0.45,536,366,Monomer Baseline / Stochastic Signal
CARD9,Q9H257,Q9H257-2,0.39,0.42,536,492,Monomer Baseline / Stochastic Signal
IL23R,Q5VWK5,Q5VWK5-7,0.15,0.14,629,227,Monomer Baseline / Stochastic Signal
IL23R,Q5VWK5,Q5VWK5-3,0.15,0.13,629,356,Monomer Baseline / Stochastic Signal
IL23R,Q5VWK5,Q5VWK5-2,0.15,0.15,629,375,Monomer Baseline / Stochastic Signal
PARG,Q86W56,Q86W56-3,0.23,0.21,976,868,Monomer Baseline / Stochastic Signal
PARG,Q86W56,Q86W56-2,0.23,0.21,976,894,Monomer Baseline / Stochastic Signal
TMEM222,Q9H0R3,Q9H0R3-2,0.12,0.1,208,112,Monomer Baseline / Stochastic Signal
YIF1B,Q5BJH7,Q5BJH7-2,0.16,0.17,314,283,Monomer Baseline / Stochastic Signal
YIF1B,Q5BJH7,Q5BJH7-6,0.16,0.18,314,299,Monomer Baseline / Stochastic Signal
OSGEPL1,Q9H4B0,Q9H4B0-2,0.15,0.17,414,364,Monomer Baseline / Stochastic Signal
CRK,P46108,P46108-2,0.19,0.14,304,204,Monomer Baseline / Stochastic Signal
TSPEAR,Q8WU66,Q8WU66-2,0.22,0.16,669,598,Monomer Baseline / Stochastic Signal
RIPK2,O43353,O43353-2,0.61,0.3,540,403,Ablation from >0.6 Canonical
ESR2,Q92731,Q92731-8,0.51,0.21,530,375,Monomer Baseline / Stochastic Signal
ESR2,Q92731,Q92731-5,0.51,0.48,530,481,Monomer Baseline / Stochastic Signal
ESR2,Q92731,Q92731-6,0.51,0.47,530,472,Monomer Baseline / Stochastic Signal
ESR2,Q92731,Q92731-3,0.51,0.24,530,323,Monomer Baseline / Stochastic Signal
ESR2,Q92731,Q92731-9,0.51,0.48,530,474,Monomer Baseline / Stochastic Signal
SLC7A5P2,Q9GIP4,Q9GIP4-1,0.19,0.15,190,180,Monomer Baseline / Stochastic Signal
PGAP1,Q75T13,Q75T13-2,0.19,0.23,922,748,Monomer Baseline / Stochastic Signal
PGAP1,Q75T13,Q75T13-3,0.19,0.19,922,592,Monomer Baseline / Stochastic Signal
DUX5,Q96PT3,Q96PT3-2,0.38,0.46,197,170,Monomer Baseline / Stochastic Signal
ZNF419,Q96HQ0,Q96HQ0-3,0.17,0.16,510,497,Monomer Baseline / Stochastic Signal
ZNF419,Q96HQ0,Q96HQ0-4,0.17,0.15,510,498,Monomer Baseline / Stochastic Signal
COBL,O75128,O75128-5,0.22,0.14,1261,379,Monomer Baseline / Stochastic Signal
COBL,O75128,O75128-3,0.22,0.21,1261,1214,Monomer Baseline / Stochastic Signal
COBL,O75128,O75128-6,0.22,0.19,1261,803,Monomer Baseline / Stochastic Signal
THAP5,Q7Z6K1,Q7Z6K1-2,0.23,0.24,395,353,Monomer Baseline / Stochastic Signal
ESYT3,A0FGR9,A0FGR9-2,0.56,0.56,886,501,Monomer Baseline / Stochastic Signal
MEOX1,P50221,P50221-3,0.28,0.36,254,139,Monomer Baseline / Stochastic Signal
KLHL7,Q8IXQ5,Q8IXQ5-5,0.6,0.62,586,538,Conserved at >0.6
ADAMTSL4,Q6UY14,Q6UY14-2,0.33,0.18,1074,877,Monomer Baseline / Stochastic Signal
ERCC5,P28715,P28715-2,0.21,0.39,1186,419,Monomer Baseline / Stochastic Signal
ERCC5,P28715,P28715-3,0.21,0.13,1186,232,Monomer Baseline / Stochastic Signal
ANGPTL4,Q9BY76,Q9BY76-3,0.16,0.15,406,239,Monomer Baseline / Stochastic Signal
MDGA2,Q7Z553,Q7Z553-2,0.19,0.16,956,727,Monomer Baseline / Stochastic Signal
KITLG,P21583,P21583-3,0.51,0.47,273,238,Monomer Baseline / Stochastic Signal
PIMREG,Q9BSJ6,Q9BSJ6-2,0.2,0.21,248,238,Monomer Baseline / Stochastic Signal
LONRF3,Q496Y0,Q496Y0-3,0.17,0.15,759,610,Monomer Baseline / Stochastic Signal
DNAAF11,Q86X45,Q86X45-2,0.21,0.21,466,414,Monomer Baseline / Stochastic Signal
SMAD7,O15105,O15105-2,0.13,0.17,426,211,Monomer Baseline / Stochastic Signal
FKBP7,Q9Y680,Q9Y680-1,0.2,0.1,222,127,Monomer Baseline / Stochastic Signal
SPPL3,Q8TCT6,Q8TCT6-3,0.12,0.18,384,169,Monomer Baseline / Stochastic Signal
LHFPL1,Q86WI0,Q86WI0-3,0.15,0.09,220,41,Monomer Baseline / Stochastic Signal
RSBN1,Q5VWQ0,Q5VWQ0-4,0.51,0.13,802,459,Monomer Baseline / Stochastic Signal
CARD14,Q9BXL6,Q9BXL6-2,0.47,0.28,1004,740,Monomer Baseline / Stochastic Signal
PTPN11,Q06124,Q06124-3,0.17,0.14,593,460,Monomer Baseline / Stochastic Signal
CHPF2,Q9P2E5,Q9P2E5-2,0.18,0.18,772,666,Monomer Baseline / Stochastic Signal
INTS13,Q9NVM9,Q9NVM9-2,0.16,0.16,706,605,Monomer Baseline / Stochastic Signal
JKAMP,Q9P055,Q9P055-2,0.16,0.12,311,248,Monomer Baseline / Stochastic Signal
GPR137,Q96N19,Q96N19-5,0.14,0.13,417,320,Monomer Baseline / Stochastic Signal
UXS1,Q8NBZ7,Q8NBZ7-3,0.76,0.83,420,252,Conserved at >0.7
ZNF788P,Q6ZQV5,Q6ZQV5-2,0.24,0.34,82,62,Monomer Baseline / Stochastic Signal
TCEA2,Q15560,Q15560-2,0.1,0.1,299,272,Monomer Baseline / Stochastic Signal
EFCAB11,Q9BUY7,Q9BUY7-2,0.44,0.13,163,139,Monomer Baseline / Stochastic Signal
EFCAB11,Q9BUY7,Q9BUY7-6,0.44,0.17,163,115,Monomer Baseline / Stochastic Signal
EFCAB11,Q9BUY7,Q9BUY7-5,0.44,0.54,163,142,Monomer Baseline / Stochastic Signal
SH3BP1,Q9Y3L3,Q9Y3L3-2,0.44,0.54,701,452,Monomer Baseline / Stochastic Signal
ENY2,Q9NPA8,Q9NPA8-2,0.28,0.27,101,96,Monomer Baseline / Stochastic Signal
PHF8,Q9UPP1,Q9UPP1-2,0.2,0.23,1060,1024,Monomer Baseline / Stochastic Signal
RPS6KA5,O75582,O75582-3,0.24,0.2,802,723,Monomer Baseline / Stochastic Signal
RPS6KA5,O75582,O75582-2,0.24,0.19,802,549,Monomer Baseline / Stochastic Signal
EPN2,O95208,O95208-5,0.16,0.11,641,356,Monomer Baseline / Stochastic Signal
CDKN2A,P42771,P42771-2,0.7,0.63,156,105,Ablation from >0.7 Canonical
PLIN3,O60664,O60664-2,0.16,0.32,434,251,Monomer Baseline / Stochastic Signal
CTPS1,P17812,P17812-2,0.84,0.18,591,360,Ablation from >0.8 Canonical
CD86,P42081,P42081-3,0.12,0.11,329,323,Monomer Baseline / Stochastic Signal
CD86,P42081,P42081-6,0.12,0.54,329,247,Monomer Baseline / Stochastic Signal
GARNL3,Q5VVW2,Q5VVW2-2,0.33,0.19,1013,820,Monomer Baseline / Stochastic Signal
