gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome,delta_ipTM,ipTM_gain,delta_len,canon_tier,iso_tier,tier_transition,biological_outcome,truncation_topology
TRIB1,Q96RU8,Q96RU8-2,0.17,0.65,372,206,Monomer Baseline / Stochastic Signal,-0.48,0.48,166,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
EPHB4,P54760,P54760-2,0.2,0.65,987,516,Monomer Baseline / Stochastic Signal,-0.45,0.45,471,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TRAPPC10,P48553,P48553-2,0.22,0.65,1259,276,Monomer Baseline / Stochastic Signal,-0.43000000000000005,0.43000000000000005,983,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
GLYR1,Q49A26,Q49A26-4,0.59,0.65,553,484,Monomer Baseline / Stochastic Signal,-0.06000000000000005,0.06000000000000005,69,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SLC66A1,Q6ZP29,Q6ZP29-2,0.15,0.65,291,180,Monomer Baseline / Stochastic Signal,-0.5,0.5,111,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
PDCD2,Q16342,Q16342-4,0.14,0.65,344,228,Monomer Baseline / Stochastic Signal,-0.51,0.51,116,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ZDHHC13,Q8IUH4,Q8IUH4-3,0.16,0.65,622,492,Monomer Baseline / Stochastic Signal,-0.49,0.49,130,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
DRC12,Q494R4,Q494R4-2,0.54,0.65,210,124,Monomer Baseline / Stochastic Signal,-0.10999999999999999,0.10999999999999999,86,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
RARB,P10826,P10826-3,0.52,0.65,455,336,Monomer Baseline / Stochastic Signal,-0.13,0.13,119,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
HAPSTR1,Q14CZ0,Q14CZ0-2,0.58,0.65,275,198,Monomer Baseline / Stochastic Signal,-0.07000000000000006,0.07000000000000006,77,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
CASP5,P51878,P51878-6,0.55,0.65,434,364,Monomer Baseline / Stochastic Signal,-0.09999999999999998,0.09999999999999998,70,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
EPHA7,Q15375,Q15375-5,0.19,0.65,998,449,Monomer Baseline / Stochastic Signal,-0.46,0.46,549,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CHIA,Q9BZP6,Q9BZP6-3,0.17,0.65,476,315,Monomer Baseline / Stochastic Signal,-0.48,0.48,161,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SYN2,Q92777,Q92777-2,0.57,0.65,582,478,Monomer Baseline / Stochastic Signal,-0.08000000000000007,0.08000000000000007,104,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NSUN5P2,Q63ZY6,Q63ZY6-4,0.22,0.64,315,117,Monomer Baseline / Stochastic Signal,-0.42000000000000004,0.42000000000000004,198,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
KLHDC2,Q9Y2U9,Q9Y2U9-2,0.57,0.64,406,249,Monomer Baseline / Stochastic Signal,-0.07000000000000006,0.07000000000000006,157,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
BTN3A1,O00481,O00481-2,0.51,0.64,513,352,Monomer Baseline / Stochastic Signal,-0.13,0.13,161,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SART3,Q15020,Q15020-2,0.58,0.64,963,364,Monomer Baseline / Stochastic Signal,-0.06000000000000005,0.06000000000000005,599,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PDE9A,O76083,O76083-13,0.59,0.64,593,526,Monomer Baseline / Stochastic Signal,-0.050000000000000044,0.050000000000000044,67,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
EPHA2,P29317,P29317-2,0.19,0.64,976,497,Monomer Baseline / Stochastic Signal,-0.45,0.45,479,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CCDC150,Q8NCX0,Q8NCX0-4,0.28,0.64,1101,168,Monomer Baseline / Stochastic Signal,-0.36,0.36,933,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CASP5,P51878,P51878-2,0.55,0.64,434,376,Monomer Baseline / Stochastic Signal,-0.08999999999999997,0.08999999999999997,58,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NLRP12,P59046,P59046-4,0.36,0.64,1061,891,Monomer Baseline / Stochastic Signal,-0.28,0.28,170,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PIP4K2B,P78356,P78356-2,0.45,0.64,416,281,Monomer Baseline / Stochastic Signal,-0.19,0.19,135,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SIAE,Q9HAT2,Q9HAT2-2,0.18,0.63,523,488,Monomer Baseline / Stochastic Signal,-0.45,0.45,35,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
NLRP3,Q96P20,Q96P20-3,0.51,0.63,1036,719,Monomer Baseline / Stochastic Signal,-0.12,0.12,317,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
SEPTIN9,Q9UHD8,Q9UHD8-3,0.51,0.63,586,422,Monomer Baseline / Stochastic Signal,-0.12,0.12,164,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
PMS2,P54278,P54278-3,0.56,0.63,862,572,Monomer Baseline / Stochastic Signal,-0.06999999999999995,0.06999999999999995,290,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ARMC3,Q5W041,Q5W041-3,0.51,0.63,872,688,Monomer Baseline / Stochastic Signal,-0.12,0.12,184,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
MRPL21,Q7Z2W9,Q7Z2W9-2,0.13,0.63,205,120,Monomer Baseline / Stochastic Signal,-0.5,0.5,85,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
RSBN1L,Q6PCB5,Q6PCB5-2,0.49,0.63,846,576,Monomer Baseline / Stochastic Signal,-0.14,0.14,270,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
DNAL1,Q4LDG9,Q4LDG9-3,0.2,0.63,190,151,Monomer Baseline / Stochastic Signal,-0.43,0.43,39,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
AKR1C8,Q5T2L2,Q5T2L2-3,0.13,0.63,326,129,Monomer Baseline / Stochastic Signal,-0.5,0.5,197,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TIGIT,Q495A1,Q495A1-2,0.48,0.63,244,170,Monomer Baseline / Stochastic Signal,-0.15000000000000002,0.15000000000000002,74,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SKA3,Q8IX90,Q8IX90-2,0.23,0.63,412,35,Monomer Baseline / Stochastic Signal,-0.4,0.4,377,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NAAA,Q02083,Q02083-2,0.52,0.63,359,323,Monomer Baseline / Stochastic Signal,-0.10999999999999999,0.10999999999999999,36,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
PIBF1,Q8WXW3,Q8WXW3-3,0.28,0.63,757,103,Monomer Baseline / Stochastic Signal,-0.35,0.35,654,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CEP70,Q8NHQ1,Q8NHQ1-3,0.34,0.62,597,212,Monomer Baseline / Stochastic Signal,-0.27999999999999997,0.27999999999999997,385,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
HLF,Q16534,Q16534-2,0.46,0.62,295,210,Monomer Baseline / Stochastic Signal,-0.15999999999999998,0.15999999999999998,85,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
NRL,P54845,P54845-2,0.45,0.62,237,98,Monomer Baseline / Stochastic Signal,-0.16999999999999998,0.16999999999999998,139,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
TMC3,Q7Z5M5,Q7Z5M5-2,0.52,0.62,1100,724,Monomer Baseline / Stochastic Signal,-0.09999999999999998,0.09999999999999998,376,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
BACE2,Q9Y5Z0,Q9Y5Z0-4,0.28,0.62,518,439,Monomer Baseline / Stochastic Signal,-0.33999999999999997,0.33999999999999997,79,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
RTKN2,Q8IZC4,Q8IZC4-3,0.18,0.62,609,163,Monomer Baseline / Stochastic Signal,-0.44,0.44,446,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TLK1,Q9UKI8,Q9UKI8-5,0.59,0.62,766,718,Monomer Baseline / Stochastic Signal,-0.030000000000000027,0.030000000000000027,48,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SLC17A5,Q9NRA2,Q9NRA2-2,0.16,0.62,495,277,Monomer Baseline / Stochastic Signal,-0.45999999999999996,0.45999999999999996,218,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SPAG6,O75602,O75602-2,0.54,0.62,509,458,Monomer Baseline / Stochastic Signal,-0.07999999999999996,0.07999999999999996,51,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PDE9A,O76083,O76083-14,0.59,0.62,593,552,Monomer Baseline / Stochastic Signal,-0.030000000000000027,0.030000000000000027,41,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CTSL,P07711,P07711-3,0.34,0.62,333,278,Monomer Baseline / Stochastic Signal,-0.27999999999999997,0.27999999999999997,55,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CHEK2,O96017,O96017-13,0.48,0.62,543,322,Monomer Baseline / Stochastic Signal,-0.14,0.14,221,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
ACSM1,Q08AH1,Q08AH1-2,0.15,0.62,577,204,Monomer Baseline / Stochastic Signal,-0.47,0.47,373,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
TNFAIP1,Q13829,Q13829-2,0.49,0.62,316,212,Monomer Baseline / Stochastic Signal,-0.13,0.13,104,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
DUT,P33316,P33316-2,0.51,0.62,252,164,Monomer Baseline / Stochastic Signal,-0.10999999999999999,0.10999999999999999,88,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
FGF13,Q92913,Q92913-2,0.59,0.62,245,192,Monomer Baseline / Stochastic Signal,-0.030000000000000027,0.030000000000000027,53,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
P3H1,Q32P28,Q32P28-4,0.57,0.62,736,697,Monomer Baseline / Stochastic Signal,-0.050000000000000044,0.050000000000000044,39,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
RRAGD,Q9NQL2,Q9NQL2-2,0.54,0.61,400,249,Monomer Baseline / Stochastic Signal,-0.06999999999999995,0.06999999999999995,151,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MPZL1,O95297,O95297-3,0.51,0.61,269,209,Monomer Baseline / Stochastic Signal,-0.09999999999999998,0.09999999999999998,60,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ECI2,O75521,O75521-2,0.59,0.61,394,359,Monomer Baseline / Stochastic Signal,-0.020000000000000018,0.020000000000000018,35,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
EI24,O14681,O14681-3,0.15,0.61,340,326,Monomer Baseline / Stochastic Signal,-0.45999999999999996,0.45999999999999996,14,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
KCNH5,Q8NCM2,Q8NCM2-2,0.52,0.61,988,611,Monomer Baseline / Stochastic Signal,-0.08999999999999997,0.08999999999999997,377,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NCAM1,P13591-1,P13591-6,0.42,0.61,848,364,Monomer Baseline / Stochastic Signal,-0.19,0.19,484,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ARL9,Q6T311,Q6T311-2,0.12,0.61,187,123,Monomer Baseline / Stochastic Signal,-0.49,0.49,64,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
NT5C1B,Q96P26,Q96P26-3,0.53,0.61,610,402,Monomer Baseline / Stochastic Signal,-0.07999999999999996,0.07999999999999996,208,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
REEP3,Q6NUK4,Q6NUK4-2,0.43,0.61,255,146,Monomer Baseline / Stochastic Signal,-0.18,0.18,109,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PCSK6,P29122,P29122-3,0.52,0.61,969,487,Monomer Baseline / Stochastic Signal,-0.08999999999999997,0.08999999999999997,482,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SEPTIN10,Q9P0V9,Q9P0V9-3,0.59,0.6,454,431,Monomer Baseline / Stochastic Signal,-0.010000000000000009,0.010000000000000009,23,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CFAP251,Q8TBY9,Q8TBY9-2,0.2,0.6,1149,941,Monomer Baseline / Stochastic Signal,-0.39999999999999997,0.39999999999999997,208,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PAIP1,Q9H074,Q9H074-3,0.5,0.6,479,367,Monomer Baseline / Stochastic Signal,-0.09999999999999998,0.09999999999999998,112,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
ZNF24,P17028,P17028-2,0.36,0.6,368,193,Monomer Baseline / Stochastic Signal,-0.24,0.24,175,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
METTL8,Q9H825,Q9H825-2,0.15,0.6,291,241,Monomer Baseline / Stochastic Signal,-0.44999999999999996,0.44999999999999996,50,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SCYL1,Q96KG9,Q96KG9-4,0.59,0.6,808,781,Monomer Baseline / Stochastic Signal,-0.010000000000000009,0.010000000000000009,27,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NPEPPSL1,A6NEC2,A6NEC2-3,0.22,0.6,478,163,Monomer Baseline / Stochastic Signal,-0.38,0.38,315,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
RNF212,Q495C1,Q495C1-3,0.43,0.6,297,192,Monomer Baseline / Stochastic Signal,-0.16999999999999998,0.16999999999999998,105,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
MTRF1L,Q9UGC7,Q9UGC7-2,0.12,0.6,380,271,Monomer Baseline / Stochastic Signal,-0.48,0.48,109,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
GDNF,P39905,P39905-5,0.47,0.6,211,159,Monomer Baseline / Stochastic Signal,-0.13,0.13,52,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MMP2,P08253,P08253-2,0.15,0.6,660,584,Monomer Baseline / Stochastic Signal,-0.44999999999999996,0.44999999999999996,76,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
TBC1D22A,Q8WUA7,Q8WUA7-4,0.33,0.6,517,470,Monomer Baseline / Stochastic Signal,-0.26999999999999996,0.26999999999999996,47,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
ESR1,P03372,P03372-3,0.48,0.6,595,422,Monomer Baseline / Stochastic Signal,-0.12,0.12,173,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SCARF1,Q14162,Q14162-4,0.37,0.6,830,337,Monomer Baseline / Stochastic Signal,-0.22999999999999998,0.22999999999999998,493,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
SCARF1,Q14162,Q14162-5,0.37,0.6,830,342,Monomer Baseline / Stochastic Signal,-0.22999999999999998,0.22999999999999998,488,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PNPLA8,Q9NP80,Q9NP80-3,0.56,0.6,782,682,Monomer Baseline / Stochastic Signal,-0.039999999999999925,0.039999999999999925,100,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
KCNA3,P22001,P22001-5,0.52,0.6,575,382,Monomer Baseline / Stochastic Signal,-0.07999999999999996,0.07999999999999996,193,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
